sheet,sku,unit_cost,units_sold_total
In-Store + YOW,GB11,42.75,753.0
In-Store + YOW,GB21,79.47,2127.0
In-Store + YOW,GB22,92.85,1145.0
In-Store + YOW,4430,15.25,1672.0
In-Store + YOW,4442,18.9,6670.0
In-Store + YOW,6642,26.8,4908.0
In-Store + YOW,6660,27.05,1583.0
In-Store + YOW,11-1-26-32,47.95,80.0
In-Store + YOW,12-1-26-01,59.07,70.0
In-Store + YOW,21-2-26-00,83.8,160.0
In-Store + YOW,21-2-36-00,115.4,0.0
In-Store + YOW,22-2-26-00,107.15,200.0
In-Store + YOW,EGL1,13.0,0.0
In-Store + YOW,EGLAI1,17.0,0.0
In-Store + YOW,PenaShield,30.0,1020.0
In-Store + YOW,4430,15.25,168.0
In-Store + YOW,4442,18.9,1440.0
In-Store + YOW,6642,26.8,1296.0
Depot + TSC,BGC10,9.59,405.0
Depot + TSC,BGF10,9.59,585.0
Depot + TSC,BGM10,9.59,0.0
Depot + TSC,BGC25,14.99,866.0
Depot + TSC,BGF25,17.97,1740.0
Depot + TSC,BGM25,16.5,2222.0
Depot + TSC,CAP-FLT-200,16.75,12.0
Depot + TSC,CAP-FLT-201,16.75,0.0
Depot + TSC,CAP-FLT-202,16.75,0.0
Depot + TSC,CAP-FLT-203,16.75,0.0
Depot + TSC,CAP-FLT-204,16.75,0.0
Depot + TSC,CAP-FLT-206,16.75,2.0
Depot + TSC,CAP-FLT-207,16.75,0.0
Depot + TSC,CAP-CRV-400,16.75,4.0
Depot + TSC,CAP-CRV-406,16.75,4.0
Depot + TSC,CordMate-OG,17.3,10.0
Depot + TSC,CordMate-Pro,24.25,6.0
Depot + TSC,91-0-00-01,12.37,243.0
Depot + TSC,11-1-26-32,50.83,600.0
Depot + TSC,12-1-26-01,59.07,167.0
Depot + TSC,21-2-26-00,83.8,2180.0
Depot + TSC,21-2-36-00,115.4,1602.0
Depot + TSC,22-2-26-00,107.15,603.0
Depot + TSC,22-2-36-00,170.35,116.0
Depot + TSC,23-2-26-00,129.13,7.0
Depot + TSC,24-2-26-00,129.84,0.0
Depot + TSC,25-2-26-00,138.4,0.0
Depot + TSC,26-2-26-00,126.5,24.0
Depot + TSC,27-2-26-00,126.38,0.0
Depot + TSC,27-2-36-00,211.56,0.0
Depot + TSC,44-2-30-00,228.04,0.0
Depot + TSC,EGL1,13.0,825.0
Depot + TSC,EGLAI1,17.0,2479.0
Depot + TSC,F15,9.25,49.0
Depot + TSC,F20,9.87,294.0
Depot + TSC,HEROMILDRK4PKG,42.9,0.0
Depot + TSC,HEROKCUPSCHL4PK,37.62,0.0
Depot + TSC,HEROKCUPSHLD4PK,37.62,0.0
Depot + TSC,HEROPOLMED4PKG,42.9,0.0
Depot + TSC,HEROEDULIT4PKG,42.9,0.0
Depot + TSC,EZD17,133.0,44.0
Depot + TSC,EZD21,145.0,52.0
Depot + TSC,EZC17,133.0,137.0
Depot + TSC,EZC21,145.0,292.0
Depot + TSC,EZL17,192.0,54.0
Depot + TSC,EZL21,230.0,147.0
Depot + TSC,EZL21B,292.0,2.0
Depot + TSC,EZAA25,255.0,147.0
Depot + TSC,EZAA30,265.0,123.0
Depot + TSC,EZTHWF,140.0,66.0
Depot + TSC,EZTH ,130.0,37.0
Depot + TSC,EZRMWF,58.0,74.0
Depot + TSC,RV21C,299.0,0.0
Depot + TSC,RV21D,299.0,2.0
Depot + TSC,F101-CBGRY,19.95,2.0
Depot + TSC,F101-CBBLU,19.95,0.0
Depot + TSC,F101-CBNVY,19.95,0.0
Depot + TSC,F101-CBORG,19.95,0.0
Depot + TSC,F101-CBPNK,19.95,0.0
Depot + TSC,F01-ATVRM,18.0,4.0
Depot + TSC,F01-ATVRM-BT,25.0,0.0
Depot + TSC,D3.5-MG,450.0,52.0
Depot + TSC,6102,26.15,6303.0
Depot + TSC,6106,40.5,1140.0
Depot + TSC,SL12LED,35.5,0.0
Depot + TSC,SL12WL,32.0,0.0
Depot + TSC,SL14LED,47.0,0.0
Depot + TSC,SL16LED,53.0,1.0
Depot + TSC,SL16WL,48.0,0.0
Depot + TSC,SL18LED,70.0,4.0
Depot + TSC,Asiana-943,150.0,0.0
Depot + TSC,Deco Mia-953,179.0,2.0
Depot + TSC,Dimondi-927,126.38,68.0
Depot + TSC,Dimondi-92736,230.0,2.0
Depot + TSC,Fenestra-924,147.15,6.0
Depot + TSC,Framington-941,148.0,6.0
Depot + TSC,Hawes-923,138.0,4.0
Depot + TSC,Moracca-952,225.0,2.0
Depot + TSC,Octavia-951,192.0,12.0
